sample_id,audio_path,speaker_id,gender,language,category,prompt_id,raw_text,normalized_text,transcript
CUS_S02_TA010,custom/speaker_02/tamil/CUS_S02_TA010.wav,S02,male,ta,tamil,TA010,ஓட்டுநருடன் என்னை இணைக்க முடியுமா?,,
CUS_S02_TA011,custom/speaker_02/tamil/CUS_S02_TA011.wav,S02,male,ta,tamil,TA011,என் பயணம் உறுதி செய்யப்பட்டதா?,,
CUS_S02_TA012,custom/speaker_02/tamil/CUS_S02_TA012.wav,S02,male,ta,tamil,TA012,இன்னும் எவ்வளவு நேரம் ஆகும்?,,
CUS_S02_TA013,custom/speaker_02/tamil/CUS_S02_TA013.wav,S02,male,ta,tamil,TA013,நான் பத்து நிமிடங்களாக காத்திருக்கிறேன்.,,
CUS_S02_TA014,custom/speaker_02/tamil/CUS_S02_TA014.wav,S02,male,ta,tamil,TA014,வண்டி இன்னும் வரவில்லை.,,
CUS_S02_TA015,custom/speaker_02/tamil/CUS_S02_TA015.wav,S02,male,ta,tamil,TA015,வேறு வண்டியை அனுப்ப முடியுமா?,,
CUS_S02_TA016,custom/speaker_02/tamil/CUS_S02_TA016.wav,S02,male,ta,tamil,TA016,நான் செல்ல வேண்டிய இடத்தை மாற்ற வேண்டும்.,,
CUS_S02_EN009,custom/speaker_02/english/CUS_S02_EN009.wav,S02,male,en,english,EN009,I want to cancel my booking.,,
CUS_S02_EN010,custom/speaker_02/english/CUS_S02_EN010.wav,S02,male,en,english,EN010,Can you send another driver?,,
CUS_S02_EN011,custom/speaker_02/english/CUS_S02_EN011.wav,S02,male,en,english,EN011,I want to change my pickup location.,,
CUS_S02_EN012,custom/speaker_02/english/CUS_S02_EN012.wav,S02,male,en,english,EN012,I want to change my destination.,,
CUS_S02_EN013,custom/speaker_02/english/CUS_S02_EN013.wav,S02,male,en,english,EN013,My driver is at the wrong location.,,
CUS_S02_EN014,custom/speaker_02/english/CUS_S02_EN014.wav,S02,male,en,english,EN014,Please share the driver's phone number.,,
CUS_S02_EN015,custom/speaker_02/english/CUS_S02_EN015.wav,S02,male,en,english,EN015,Is my booking confirmed?,,
CUS_S02_EN016,custom/speaker_02/english/CUS_S02_EN016.wav,S02,male,en,english,EN016,How long will the driver take to arrive?,,
CUS_S02_TG013,custom/speaker_02/tanglish/CUS_S02_TG013.wav,S02,male,ta-en,tanglish,TG013,நான் ten minutesஆ wait பண்ணிட்டு இருக்கேன்.,,
CUS_S02_TG014,custom/speaker_02/tanglish/CUS_S02_TG014.wav,S02,male,ta-en,tanglish,TG014,வேற driver assign பண்ணுங்க.,,
CUS_S02_TG015,custom/speaker_02/tanglish/CUS_S02_TG015.wav,S02,male,ta-en,tanglish,TG015,Pickup location change பண்ணணும்.,,
CUS_S02_TG016,custom/speaker_02/tanglish/CUS_S02_TG016.wav,S02,male,ta-en,tanglish,TG016,Drop location change பண்ணணும்.,,
CUS_S02_TG017,custom/speaker_02/tanglish/CUS_S02_TG017.wav,S02,male,ta-en,tanglish,TG017,Driver wrong locationல இருக்காரு.,,
CUS_S02_TG018,custom/speaker_02/tanglish/CUS_S02_TG018.wav,S02,male,ta-en,tanglish,TG018,நான் T Nagarல wait பண்ணிட்டு இருக்கேன்.,,
CUS_S02_TG019,custom/speaker_02/tanglish/CUS_S02_TG019.wav,S02,male,ta-en,tanglish,TG019,OMRக்கு cab கிடைக்குமா?,,
CUS_S02_TG020,custom/speaker_02/tanglish/CUS_S02_TG020.wav,S02,male,ta-en,tanglish,TG020,Chennai Airportக்கு ride book பண்ணுங்க.,,
CUS_S02_TG021,custom/speaker_02/tanglish/CUS_S02_TG021.wav,S02,male,ta-en,tanglish,TG021,Total fare எவ்வளவு வரும்?,,
CUS_S02_TG022,custom/speaker_02/tanglish/CUS_S02_TG022.wav,S02,male,ta-en,tanglish,TG022,Cash payment பண்ணலாமா?,,
CUS_S02_TG023,custom/speaker_02/tanglish/CUS_S02_TG023.wav,S02,male,ta-en,tanglish,TG023,UPIல payment பண்ண முடியுமா?,,
CUS_S02_TG024,custom/speaker_02/tanglish/CUS_S02_TG024.wav,S02,male,ta-en,tanglish,TG024,Extra charge ஏன் add பண்ணிருக்கீங்க?,,
CUS_S02_TR013,custom/speaker_02/entity/CUS_S02_TR013.wav,S02,male,en,transportation_entity,TR013,Your fare is ₹450.50.,,
CUS_S02_TR014,custom/speaker_02/entity/CUS_S02_TR014.wav,S02,male,ta-en,transportation_entity,TR014,இந்த tripக்கு ₹85 toll charge இருக்கு.,,
CUS_S02_TR015,custom/speaker_02/entity/CUS_S02_TR015.wav,S02,male,en,transportation_entity,TR015,The distance is 12.7 kilometres.,,
CUS_S02_TR016,custom/speaker_02/entity/CUS_S02_TR016.wav,S02,male,ta-en,transportation_entity,TR016,Airport இன்னும் 18.5 km distance இருக்கு.,,
CUS_S02_TR017,custom/speaker_02/entity/CUS_S02_TR017.wav,S02,male,en,transportation_entity,TR017,Your destination is 6 kilometres away.,,
CUS_S02_TR018,custom/speaker_02/entity/CUS_S02_TR018.wav,S02,male,ta-en,transportation_entity,TR018,Pickup location 2.5 km away இருக்கு.,,
CUS_S02_TR019,custom/speaker_02/entity/CUS_S02_TR019.wav,S02,male,en,transportation_entity,TR019,Your OTP is 4821.,,
CUS_S02_TR020,custom/speaker_02/entity/CUS_S02_TR020.wav,S02,male,ta-en,transportation_entity,TR020,உங்கள் OTP 7396.,,
CUS_S02_TR021,custom/speaker_02/entity/CUS_S02_TR021.wav,S02,male,en,transportation_entity,TR021,Please tell the driver OTP 51684.,,
CUS_S02_TR022,custom/speaker_02/entity/CUS_S02_TR022.wav,S02,male,ta-en,transportation_entity,TR022,Driverக்கு OTP 904271 சொல்லுங்க.,,
CUS_S02_TR023,custom/speaker_02/entity/CUS_S02_TR023.wav,S02,male,en,transportation_entity,TR023,My phone number is 9876543210.,,
CUS_S02_TR024,custom/speaker_02/entity/CUS_S02_TR024.wav,S02,male,en,transportation_entity,TR024,Driver phone number 9840123456.,,
CUS_S03_TA017,custom/speaker_03/tamil/CUS_S03_TA017.wav,S03,female,ta,tamil,TA017,என்னுடைய ஏற்றுமிடத்தை மாற்ற வேண்டும்.,,
CUS_S03_TA018,custom/speaker_03/tamil/CUS_S03_TA018.wav,S03,female,ta,tamil,TA018,நான் தி நகரில் காத்திருக்கிறேன்.,,
CUS_S03_TA019,custom/speaker_03/tamil/CUS_S03_TA019.wav,S03,female,ta,tamil,TA019,ஓட்டுநர் தவறான இடத்திற்கு சென்றுள்ளார்.,,
CUS_S03_TA020,custom/speaker_03/tamil/CUS_S03_TA020.wav,S03,female,ta,tamil,TA020,என்னுடைய பயண விவரங்களை சொல்லுங்கள்.,,
CUS_S03_TA021,custom/speaker_03/tamil/CUS_S03_TA021.wav,S03,female,ta,tamil,TA021,கட்டணம் எவ்வளவு ஆகும்?,,
CUS_S03_TA022,custom/speaker_03/tamil/CUS_S03_TA022.wav,S03,female,ta,tamil,TA022,பணமாக செலுத்தலாமா?,,
CUS_S03_TA023,custom/speaker_03/tamil/CUS_S03_TA023.wav,S03,female,ta,tamil,TA023,இணைய வழியாக பணம் செலுத்த முடியுமா?,,
CUS_S03_TA024,custom/speaker_03/tamil/CUS_S03_TA024.wav,S03,female,ta,tamil,TA024,பயணத்தின் மொத்த கட்டணம் என்ன?,,
CUS_S03_EN017,custom/speaker_03/english/CUS_S03_EN017.wav,S03,female,en,english,EN017,I have been waiting for ten minutes.,,
CUS_S03_EN018,custom/speaker_03/english/CUS_S03_EN018.wav,S03,female,en,english,EN018,Please ask the driver to call me.,,
CUS_S03_EN019,custom/speaker_03/english/CUS_S03_EN019.wav,S03,female,en,english,EN019,How much will the ride cost?,,
CUS_S03_EN020,custom/speaker_03/english/CUS_S03_EN020.wav,S03,female,en,english,EN020,What is the estimated fare?,,
CUS_S03_EN021,custom/speaker_03/english/CUS_S03_EN021.wav,S03,female,en,english,EN021,Can I pay by cash?,,
CUS_S03_EN022,custom/speaker_03/english/CUS_S03_EN022.wav,S03,female,en,english,EN022,Can I pay using UPI?,,
CUS_S03_EN023,custom/speaker_03/english/CUS_S03_EN023.wav,S03,female,en,english,EN023,Why was an additional charge added?,,
CUS_S03_EN024,custom/speaker_03/english/CUS_S03_EN024.wav,S03,female,en,english,EN024,Please send me the payment receipt.,,
CUS_S03_TG025,custom/speaker_03/tanglish/CUS_S03_TG025.wav,S03,female,ta-en,tanglish,TG025,Payment receipt send பண்ணுங்க.,,
CUS_S03_TG026,custom/speaker_03/tanglish/CUS_S03_TG026.wav,S03,female,ta-en,tanglish,TG026,Refund எப்ப கிடைக்கும்?,,
CUS_S03_TG027,custom/speaker_03/tanglish/CUS_S03_TG027.wav,S03,female,ta-en,tanglish,TG027,Driver ride cancel பண்ணிட்டாரு.,,
CUS_S03_TG028,custom/speaker_03/tanglish/CUS_S03_TG028.wav,S03,female,ta-en,tanglish,TG028,எனக்கு another cab வேணும்.,,
CUS_S03_TG029,custom/speaker_03/tanglish/CUS_S03_TG029.wav,S03,female,ta-en,tanglish,TG029,இந்த cabல AC இருக்கா?,,
CUS_S03_TG030,custom/speaker_03/tanglish/CUS_S03_TG030.wav,S03,female,ta-en,tanglish,TG030,நாங்க four passengers.,,
CUS_S03_TG031,custom/speaker_03/tanglish/CUS_S03_TG031.wav,S03,female,ta-en,tanglish,TG031,எங்ககிட்ட two luggage bags இருக்கு.,,
CUS_S03_TG032,custom/speaker_03/tanglish/CUS_S03_TG032.wav,S03,female,ta-en,tanglish,TG032,நான் child கூட travel பண்ணுறேன்.,,
CUS_S03_TG033,custom/speaker_03/tanglish/CUS_S03_TG033.wav,S03,female,ta-en,tanglish,TG033,Driver சீக்கிரம் வர சொல்லுங்க.,,
CUS_S03_TG034,custom/speaker_03/tanglish/CUS_S03_TG034.wav,S03,female,ta-en,tanglish,TG034,Routeல traffic அதிகமா இருக்கா?,,
CUS_S03_TG035,custom/speaker_03/tanglish/CUS_S03_TG035.wav,S03,female,ta-en,tanglish,TG035,Alternative route எடுத்துக்க முடியுமா?,,
CUS_S03_TG036,custom/speaker_03/tanglish/CUS_S03_TG036.wav,S03,female,ta-en,tanglish,TG036,Hospitalக்கு urgentஆ போகணும்.,,
CUS_S03_TR025,custom/speaker_03/entity/CUS_S03_TR025.wav,S03,female,en,transportation_entity,TR025,Please call me on 9500012345.,,
CUS_S03_TR026,custom/speaker_03/entity/CUS_S03_TR026.wav,S03,female,en,transportation_entity,TR026,Contact number is +91 98840 56789.,,
CUS_S03_TR027,custom/speaker_03/entity/CUS_S03_TR027.wav,S03,female,en,transportation_entity,TR027,Driver number plus nine one nine eight four zero one two three four five six.,,
CUS_S03_TR028,custom/speaker_03/entity/CUS_S03_TR028.wav,S03,female,en,transportation_entity,TR028,My alternate number is 044 2345 6789.,,
CUS_S03_TR029,custom/speaker_03/entity/CUS_S03_TR029.wav,S03,female,en,transportation_entity,TR029,Your booking ID is CAB48291.,,
CUS_S03_TR030,custom/speaker_03/entity/CUS_S03_TR030.wav,S03,female,ta-en,transportation_entity,TR030,என் booking ID TXN74216.,,
CUS_S03_TR031,custom/speaker_03/entity/CUS_S03_TR031.wav,S03,female,en,transportation_entity,TR031,Please check booking ID CHN50832.,,
CUS_S03_TR032,custom/speaker_03/entity/CUS_S03_TR032.wav,S03,female,en,transportation_entity,TR032,Ride reference number is TAXI2026451.,,
CUS_S03_TR033,custom/speaker_03/entity/CUS_S03_TR033.wav,S03,female,en,transportation_entity,TR033,Your vehicle number is TN-09-AB-1234.,,
CUS_S03_TR034,custom/speaker_03/entity/CUS_S03_TR034.wav,S03,female,en,transportation_entity,TR034,Driver vehicle number TN-10-BX-4587.,,
CUS_S03_TR035,custom/speaker_03/entity/CUS_S03_TR035.wav,S03,female,ta-en,transportation_entity,TR035,Cab number TN-22-CK-9045 வந்துடுச்சா?,,
CUS_S03_TR036,custom/speaker_03/entity/CUS_S03_TR036.wav,S03,female,ta-en,transportation_entity,TR036,உங்கள் vehicle registration TN-01-AD-7621.,,
CUS_S04_TA025,custom/speaker_04/tamil/CUS_S04_TA025.wav,S04,female,ta,tamil,TA025,கூடுதல் கட்டணம் ஏன் சேர்க்கப்பட்டுள்ளது?,,
CUS_S04_TA026,custom/speaker_04/tamil/CUS_S04_TA026.wav,S04,female,ta,tamil,TA026,எனக்கு ரசீது வேண்டும்.,,
CUS_S04_TA027,custom/speaker_04/tamil/CUS_S04_TA027.wav,S04,female,ta,tamil,TA027,என் பணம் திரும்ப கிடைக்குமா?,,
CUS_S04_TA028,custom/speaker_04/tamil/CUS_S04_TA028.wav,S04,female,ta,tamil,TA028,ஓட்டுநர் பயணத்தை ரத்து செய்துவிட்டார்.,,
CUS_S04_TA029,custom/speaker_04/tamil/CUS_S04_TA029.wav,S04,female,ta,tamil,TA029,நான் வேறு ஓட்டுநரை விரும்புகிறேன்.,,
CUS_S04_TA030,custom/speaker_04/tamil/CUS_S04_TA030.wav,S04,female,ta,tamil,TA030,இந்த வண்டியில் குளிர்சாதன வசதி உள்ளதா?,,
CUS_S04_TA031,custom/speaker_04/tamil/CUS_S04_TA031.wav,S04,female,ta,tamil,TA031,நான்கு பேர் பயணம் செய்ய வேண்டும்.,,
CUS_S04_TA032,custom/speaker_04/tamil/CUS_S04_TA032.wav,S04,female,ta,tamil,TA032,எங்களிடம் இரண்டு பெரிய பைகள் உள்ளன.,,
CUS_S04_EN025,custom/speaker_04/english/CUS_S04_EN025.wav,S04,female,en,english,EN025,When will I receive my refund?,,
CUS_S04_EN026,custom/speaker_04/english/CUS_S04_EN026.wav,S04,female,en,english,EN026,The driver cancelled my ride.,,
CUS_S04_EN027,custom/speaker_04/english/CUS_S04_EN027.wav,S04,female,en,english,EN027,I need a different cab.,,
CUS_S04_EN028,custom/speaker_04/english/CUS_S04_EN028.wav,S04,female,en,english,EN028,Is air conditioning available in this vehicle?,,
CUS_S04_EN029,custom/speaker_04/english/CUS_S04_EN029.wav,S04,female,en,english,EN029,We are four passengers.,,
CUS_S04_EN030,custom/speaker_04/english/CUS_S04_EN030.wav,S04,female,en,english,EN030,We have two large bags.,,
CUS_S04_EN031,custom/speaker_04/english/CUS_S04_EN031.wav,S04,female,en,english,EN031,I am travelling with a child.,,
CUS_S04_EN032,custom/speaker_04/english/CUS_S04_EN032.wav,S04,female,en,english,EN032,Please ask the driver to come quickly.,,
CUS_S04_TG037,custom/speaker_04/tanglish/CUS_S04_TG037.wav,S04,female,ta-en,tanglish,TG037,Main gateல drop பண்ண சொல்லுங்க.,,
CUS_S04_TG038,custom/speaker_04/tanglish/CUS_S04_TG038.wav,S04,female,ta-en,tanglish,TG038,என் live location driverக்கு send பண்ணுங்க.,,
CUS_S04_TG039,custom/speaker_04/tanglish/CUS_S04_TG039.wav,S04,female,ta-en,tanglish,TG039,Driver என்னை call பண்ண சொல்லுங்க.,,
CUS_S04_TG040,custom/speaker_04/tanglish/CUS_S04_TG040.wav,S04,female,ta-en,tanglish,TG040,Cab வந்ததும் notification அனுப்புங்க.,,
CUS_S04_TG041,custom/speaker_04/tanglish/CUS_S04_TG041.wav,S04,female,ta-en,tanglish,TG041,Morning six o'clockக்கு cab book பண்ணணும்.,,
CUS_S04_TG042,custom/speaker_04/tanglish/CUS_S04_TG042.wav,S04,female,ta-en,tanglish,TG042,Evening seven thirtyக்கு pickup வேணும்.,,
CUS_S04_TG043,custom/speaker_04/tanglish/CUS_S04_TG043.wav,S04,female,ta-en,tanglish,TG043,Tomorrow airport dropக்கு cab வேணும்.,,
CUS_S04_TG044,custom/speaker_04/tanglish/CUS_S04_TG044.wav,S04,female,ta-en,tanglish,TG044,இன்று night cab கிடைக்குமா?,,
CUS_S04_TG045,custom/speaker_04/tanglish/CUS_S04_TG045.wav,S04,female,ta-en,tanglish,TG045,Driver five minutesல வருவாரா?,,
CUS_S04_TG046,custom/speaker_04/tanglish/CUS_S04_TG046.wav,S04,female,ta-en,tanglish,TG046,Pickup point Chennai Central main entrance.,,
CUS_S04_TG047,custom/speaker_04/tanglish/CUS_S04_TG047.wav,S04,female,ta-en,tanglish,TG047,Drop location Guindy railway station.,,
CUS_S04_TG048,custom/speaker_04/tanglish/CUS_S04_TG048.wav,S04,female,ta-en,tanglish,TG048,நான் Velacheryல இருந்து airport போகணும்.,,
CUS_S04_TR037,custom/speaker_04/entity/CUS_S04_TR037.wav,S04,female,en,transportation_entity,TR037,Pickup is at Chennai Central Platform 7.,,
CUS_S04_TR038,custom/speaker_04/entity/CUS_S04_TR038.wav,S04,female,ta-en,transportation_entity,TR038,நான் Platform 4ல wait பண்ணிட்டு இருக்கேன்.,,
CUS_S04_TR039,custom/speaker_04/entity/CUS_S04_TR039.wav,S04,female,ta-en,transportation_entity,TR039,Driver Gate 3க்கு வர சொல்லுங்க.,,
CUS_S04_TR040,custom/speaker_04/entity/CUS_S04_TR040.wav,S04,female,en,transportation_entity,TR040,Pickup point is Airport Gate 5.,,
CUS_S04_TR041,custom/speaker_04/entity/CUS_S04_TR041.wav,S04,female,en,transportation_entity,TR041,"Please come to No. 24, Anna Salai, Teynampet.",,
CUS_S04_TR042,custom/speaker_04/entity/CUS_S04_TR042.wav,S04,female,en,transportation_entity,TR042,"Pickup address is 18, North Usman Road, T Nagar.",,
CUS_S04_TR043,custom/speaker_04/entity/CUS_S04_TR043.wav,S04,female,ta-en,transportation_entity,TR043,"Driver 42, Velachery Main Roadக்கு வரணும்.",,
CUS_S04_TR044,custom/speaker_04/entity/CUS_S04_TR044.wav,S04,female,en,transportation_entity,TR044,"Drop me at 16, OMR, Thoraipakkam.",,
CUS_S04_TR045,custom/speaker_04/entity/CUS_S04_TR045.wav,S04,female,ta-en,transportation_entity,TR045,Pickup Chennai Central main entranceல இருக்கு.,,
CUS_S04_TR046,custom/speaker_04/entity/CUS_S04_TR046.wav,S04,female,en,transportation_entity,TR046,Drop location is Chennai International Airport Terminal 2.,,
CUS_S04_TR047,custom/speaker_04/entity/CUS_S04_TR047.wav,S04,female,ta-en,transportation_entity,TR047,நான் Kilpauk Medical College Hospital entranceல இருக்கேன்.,,
CUS_S04_TR048,custom/speaker_04/entity/CUS_S04_TR048.wav,S04,female,ta-en,transportation_entity,TR048,Driver Phoenix Marketcity gateக்கு வர சொல்லுங்க.,,
CUS_S05_TA033,custom/speaker_05/tamil/CUS_S05_TA033.wav,S05,female,ta,tamil,TA033,குழந்தையுடன் பயணம் செய்கிறேன்.,,
CUS_S05_TA034,custom/speaker_05/tamil/CUS_S05_TA034.wav,S05,female,ta,tamil,TA034,தயவுசெய்து வண்டியை சீக்கிரம் அனுப்புங்கள்.,,
CUS_S05_TA035,custom/speaker_05/tamil/CUS_S05_TA035.wav,S05,female,ta,tamil,TA035,சாலையில் அதிக போக்குவரத்து இருக்கிறதா?,,
CUS_S05_TA036,custom/speaker_05/tamil/CUS_S05_TA036.wav,S05,female,ta,tamil,TA036,மாற்று வழியில் செல்ல முடியுமா?,,
CUS_S05_TA037,custom/speaker_05/tamil/CUS_S05_TA037.wav,S05,female,ta,tamil,TA037,நான் மருத்துவமனைக்கு செல்ல வேண்டும்.,,
CUS_S05_TA038,custom/speaker_05/tamil/CUS_S05_TA038.wav,S05,female,ta,tamil,TA038,என்னை முக்கிய நுழைவாயிலில் இறக்குங்கள்.,,
CUS_S05_TA039,custom/speaker_05/tamil/CUS_S05_TA039.wav,S05,female,ta,tamil,TA039,ஓட்டுநருக்கு என் இருப்பிடத்தை அனுப்புங்கள்.,,
CUS_S05_TA040,custom/speaker_05/tamil/CUS_S05_TA040.wav,S05,female,ta,tamil,TA040,பயணம் முடிந்ததும் எனக்கு தகவல் அனுப்புங்கள்.,,
CUS_S05_EN033,custom/speaker_05/english/CUS_S05_EN033.wav,S05,female,en,english,EN033,Is there heavy traffic on the route?,,
CUS_S05_EN034,custom/speaker_05/english/CUS_S05_EN034.wav,S05,female,en,english,EN034,Can the driver take another route?,,
CUS_S05_EN035,custom/speaker_05/english/CUS_S05_EN035.wav,S05,female,en,english,EN035,I need to go to the hospital.,,
CUS_S05_EN036,custom/speaker_05/english/CUS_S05_EN036.wav,S05,female,en,english,EN036,Please drop me near the main entrance.,,
CUS_S05_EN037,custom/speaker_05/english/CUS_S05_EN037.wav,S05,female,en,english,EN037,Please share my location with the driver.,,
CUS_S05_EN038,custom/speaker_05/english/CUS_S05_EN038.wav,S05,female,en,english,EN038,I cannot find the driver.,,
CUS_S05_EN039,custom/speaker_05/english/CUS_S05_EN039.wav,S05,female,en,english,EN039,The cab is moving in the wrong direction.,,
CUS_S05_EN040,custom/speaker_05/english/CUS_S05_EN040.wav,S05,female,en,english,EN040,Please notify me when the cab arrives.,,
CUS_S05_TG049,custom/speaker_05/tanglish/CUS_S05_TG049.wav,S05,female,ta-en,tanglish,TG049,Anna Nagarக்கு fare எவ்வளவு?,,
CUS_S05_TG050,custom/speaker_05/tanglish/CUS_S05_TG050.wav,S05,female,ta-en,tanglish,TG050,T Nagarல இருந்து Centralக்கு cab வேணும்.,,
CUS_S05_TG051,custom/speaker_05/tanglish/CUS_S05_TG051.wav,S05,female,ta-en,tanglish,TG051,Driver route change பண்ணிட்டாரு.,,
CUS_S05_TG052,custom/speaker_05/tanglish/CUS_S05_TG052.wav,S05,female,ta-en,tanglish,TG052,Cab number என்னன்னு சொல்லுங்க.,,
