sample_id,audio_path,gender,transcript
PUB_TA_F_016,audio/female/PUB_TA_F_016.wav,female,இலங்கையின் முன்னாள் இராணுவத் தளபதி சவேந்திர சில்லாவிற்கு ஐநா ஆலோசகர் பதவி
PUB_TA_F_017,audio/female/PUB_TA_F_017.wav,female,ரஷ்ய விமானம் சுட்டு வீழ்த்தப்பட்ட விவகாரம் அமெரிக்கா மீது புடீன் குற்றச்சாட்டு
PUB_TA_F_018,audio/female/PUB_TA_F_018.wav,female,உதகமண்டலம் எமரால்டு ஹைட்ஸ் மகளிர் கல்லூரியில் தமிழ்க்கணினி விக்கிப்பீடியா பயிலரங்கம்
PUB_TA_F_019,audio/female/PUB_TA_F_019.wav,female,யூரோ வலயத்தின் பதினேழுவது உறுப்பு நாடாக எசுத்தோனியா இணைந்தது
PUB_TA_F_020,audio/female/PUB_TA_F_020.wav,female,இஸ்ரேலுக்காக வேவு பார்த்தவருக்கு ஈரானில் தூக்குத்தண்டனை நிறைவேற்றம்
PUB_TA_F_021,audio/female/PUB_TA_F_021.wav,female,முழுப் படத்தையும் அப்போது பார்த்துவிட்டு மகிழ்ச்சியுடன் கை குலுங்கினார்
PUB_TA_F_022,audio/female/PUB_TA_F_022.wav,female,நீங்கள் சேருமிடம் வலப்பக்கமிருக்கிறது.
PUB_TA_F_023,audio/female/PUB_TA_F_023.wav,female,இலங்கையில் சீதைக்குக் கோவில் என இந்தியா அறிவிப்பு
PUB_TA_F_024,audio/female/PUB_TA_F_024.wav,female,ருவாண்டா படுகொலைகளுக்காகத் தேடப்பட்டு வந்த முக்கிய நபர் கைது
PUB_TA_F_025,audio/female/PUB_TA_F_025.wav,female,மறுமார்க்கத்தில் ஞாயிறு மற்றும் செவ்வாய்க்கிழமைகளில் சிறப்பு ரயில்கள் இயக்கப்பட்டன
PUB_TA_F_026,audio/female/PUB_TA_F_026.wav,female,வானியல் ஆராய்ச்சியில் சூரிய மண்டலம் மற்றும் சனிமண்டலம் குறித்த அதிசயங்கள் கண்டறியப்படும்
PUB_TA_F_027,audio/female/PUB_TA_F_027.wav,female,அங்கோலா தேர்தலில் ஆளும் மக்கள் விடுதலை இயக்கம் வெற்றி
PUB_TA_F_028,audio/female/PUB_TA_F_028.wav,female,", பின்னர்"
PUB_TA_F_029,audio/female/PUB_TA_F_029.wav,female,குவாண்டானாமோ விரிகுடாவில் உள்ள அமெரிக்கத் தடுப்பு முகாமுக்கு பத்து ஆண்டுகள் நிறைவு
PUB_TA_F_030,audio/female/PUB_TA_F_030.wav,female,முதலில் சேரும் ஆயிரம் பேருக்கு பயிற்சி கட்டணத்தில் ஐம்பது விழுக்காடு சலுகை வழங்கப்படும்
PUB_TA_F_031,audio/female/PUB_TA_F_031.wav,female,சூரிய ஆற்றலில் இருந்து இருபத்தி இரண்டு கிகாவாட்டு மின்திறன்
PUB_TA_F_032,audio/female/PUB_TA_F_032.wav,female,இந்திய நீர்மூழ்கிக் கப்பல் வெடித்துத் தீப்பிடித்ததில் பலர் உயிரிழப்பு
PUB_TA_F_033,audio/female/PUB_TA_F_033.wav,female,சூழல் மாசடைதலைத் தடுக்க செயற்கை மரங்கள் உருவாக்கப்படும்
PUB_TA_F_034,audio/female/PUB_TA_F_034.wav,female,நூலக வித்தகர் வே தில்லைநாயகம் காலமானார்
PUB_TA_F_035,audio/female/PUB_TA_F_035.wav,female,மேத்யூஸ் அறுபத்தி நான்கு ரன்களும் சண்டிமால் ஐம்பத்தி ஒன்பது ரன்களும் எடுத்தனர்
PUB_TA_F_036,audio/female/PUB_TA_F_036.wav,female,பாதியில் உடைந்த பாலம் தண்ணீருக்குள் வாகனங்கள்
PUB_TA_F_037,audio/female/PUB_TA_F_037.wav,female,பசங்க ரெண்டு படத்தை தயாரிக்க என்ன காரணம்
PUB_TA_F_038,audio/female/PUB_TA_F_038.wav,female,பெட்ரோல்டீசல் விலை குறைப்பு நள்ளிரவு முதல் அமல்
PUB_TA_F_039,audio/female/PUB_TA_F_039.wav,female,படப்பிடிப்பில் ரயில் மற்றும் ரெயில் நிலையங்களில் ஏதாவது பாதிப்பு ஏற்பட்டால் அதற்கு படப்பிடிப்பு குழுவினரே பொறுப்பாவார்கள்
PUB_TA_F_040,audio/female/PUB_TA_F_040.wav,female,இரண்டாயிரத்து பதினொன்று உலகக்கோப்பை காலிறுதிப் போட்டிகள் ஆரம்பம்
PUB_TA_F_041,audio/female/PUB_TA_F_041.wav,female,சத்ய மாமுனி ஆறிலே இருகாலிலே தளைப்பூண்டதும் என்று பழைய பாடல் கூறுகிறது
PUB_TA_F_042,audio/female/PUB_TA_F_042.wav,female,ஆயிரத்து எண்ணூற்று பதினொன்றில் தொலைந்த அமெரிக்கப் போர்க்கப்பலின் எச்சங்கள் கண்டுபிடிப்பு
PUB_TA_F_043,audio/female/PUB_TA_F_043.wav,female,பூர்வீக சொத்து சம்பந்தப்பட்ட விவகாரத்தில் கோர்டு கேஸ் என்று நேரத்தை வீணடித்துக் கொண்டிருக்காதீர்கள்
PUB_TA_F_044,audio/female/PUB_TA_F_044.wav,female,குறைந்தபட்சம் அந்த தொகையேனும் நடிகர் சங்கத்துக்கு மாதம்தோறும் கிடைக்கும்படி புதிய நிர்வாகிகள் வழி செய்ய வேண்டும்
PUB_TA_F_045,audio/female/PUB_TA_F_045.wav,female,மழை ஏற்படுத்திய பாதிப்பு பற்றி சொல்லுங்க
PUB_TA_F_046,audio/female/PUB_TA_F_046.wav,female,சிங்கப்பூரில் முதலாவது உலகப் பல்கலைக்கழகத் தமிழ் இளையர் மாநாடு
PUB_TA_F_047,audio/female/PUB_TA_F_047.wav,female,மருத்துவத்துக்கான இரண்டாயிரத்து பதினொன்று நோபல் பரிசு மூவருக்கு வளங்கபட்டுலது
PUB_TA_F_048,audio/female/PUB_TA_F_048.wav,female,புலியில் சுருதிஹாசனுடன் நடித்திருக்கிறேன்
PUB_TA_F_049,audio/female/PUB_TA_F_049.wav,female,தமிழகம் குறித்தான இறுதிநிலை கணிப்புகள் வெளியாகியுள்ளன
PUB_TA_F_050,audio/female/PUB_TA_F_050.wav,female,தூங்கா வனத்தின் தெலுங்குப் பதிப்பான சீக்கட்டி ராஜ்ஜியம் இன்று வெளியாகியுள்ளது
PUB_TA_M_001,audio/male/PUB_TA_M_001.wav,male,பிரேசில் கால்பந்து வீரர் ரொனால்டோ ஓய்வுபெறுகிறார்
PUB_TA_M_002,audio/male/PUB_TA_M_002.wav,male,தமிழ்நாட்டில் விளைநிலங்கள் பாலைவனமாகும் அபாயம்
PUB_TA_M_003,audio/male/PUB_TA_M_003.wav,male,இந்தியத் திரைப்படத்துறையில் மாபெரும் சாதனைப் படைத்த ஒரு புகழ்பெற்ற நடிகை மனோரமா
PUB_TA_M_004,audio/male/PUB_TA_M_004.wav,male,பிப்ரவரி இருபத்தி நான்கு மத்திய கலால்வரி தினம்
PUB_TA_M_005,audio/male/PUB_TA_M_005.wav,male,ஜூன் இருபத்தி மூன்று உலக இறை வணக்க தினம்
PUB_TA_M_006,audio/male/PUB_TA_M_006.wav,male,கர்நாடக அரசின் இந்த முடிவுக்கு தமிழகம் கடும் எதிர்ப்பு தெரிவித்து வருகிறது
PUB_TA_M_007,audio/male/PUB_TA_M_007.wav,male,அதில் ஒவ்வொன்றுக்கும் ஒவ்வொரு சிறப்பு பலன் இருக்கிறது
PUB_TA_M_008,audio/male/PUB_TA_M_008.wav,male,பல்கலைக்கழக புகுமுகத் தேர்வில் லைபீரிய மாணவர்கள் எவரும் சித்தியடையவில்லை
PUB_TA_M_009,audio/male/PUB_TA_M_009.wav,male,தன்சானியாவில் அடுக்கு மாடிக் கட்டடம் இடிந்து வீழ்ந்ததில் பதினேழு பேர் உயிரிழப்பு
PUB_TA_M_010,audio/male/PUB_TA_M_010.wav,male,வெனிசுவேலாவில் மோசடி விலை நிர்ணயத்தை தடுத்திட லாபத்திற்கு உச்சவரம்பு
PUB_TA_M_011,audio/male/PUB_TA_M_011.wav,male,விரைவில் வெளியாகும்
PUB_TA_M_012,audio/male/PUB_TA_M_012.wav,male,எந்திரன் இரண்டின் சண்டைக் காட்சியிலும் ரஜினி முகத்தை மட்டும் தந்தால் போதும்
PUB_TA_M_013,audio/male/PUB_TA_M_013.wav,male,நூற்றி இருபத்தி இரண்டு நிறுவனங்களின் உரிமைகளை இந்திய உச்ச நீதிமன்றம் நீக்கியது
PUB_TA_M_014,audio/male/PUB_TA_M_014.wav,male,தகுதியற்ற அங்கீகாரம் இல்லாத கல்வி நிறுவனங்கள் மூடப்படும்
PUB_TA_M_015,audio/male/PUB_TA_M_015.wav,male,நடன இயக்குனர் ரகுராம் காலமானார்
PUB_TA_M_016,audio/male/PUB_TA_M_016.wav,male,கர்நாட மாநிலத்தில் காவிரி நீர்ப் பிடிப்புப் பகுதிகளில் கனமழை வெளுத்து வாங்குகிறது
PUB_TA_M_017,audio/male/PUB_TA_M_017.wav,male,காற்றழுத்த தாழ்வுநிலை மேற்கு நோக்கி நகர்ந்து லட்சத்தீவு மற்றும் மாலத்தீவு பகுதிக்கு சென்றுள்ளது
PUB_TA_M_018,audio/male/PUB_TA_M_018.wav,male,விஷுவல் எபெக்ட் மேற்பார்வை லீகஸி எபெக்ட்ஸ்
PUB_TA_M_019,audio/male/PUB_TA_M_019.wav,male,நான் விக்ரமுடன் நடித்த பத்து எண்றதுக்குள்ள படம் விரைவில் வெளிவர இருக்கிறது
PUB_TA_M_020,audio/male/PUB_TA_M_020.wav,male,மாயன் மன்னரின் கல்லறை குவாத்தமாலாவில் கண்டுபிடிக்கப்பட்டது
PUB_TA_M_021,audio/male/PUB_TA_M_021.wav,male,இரண்டாயிரத்து பன்னிரண்டு உலக சதுரங்கப் போட்டியில் ‌வி‌சுவநாத‌ன் ஆனந்த் வெற்றி
PUB_TA_M_022,audio/male/PUB_TA_M_022.wav,male,வடகிழக்கு நோக்கி
PUB_TA_M_023,audio/male/PUB_TA_M_023.wav,male,இந்திய நாடாளுமன்றம் அறுபது ஆண்டுகளை நிறைவு செய்தது
PUB_TA_M_024,audio/male/PUB_TA_M_024.wav,male,முதலீட்டு நிறுவனப் பங்குகளின் விலை உலோகத் துறை பங்குகளை விட ஆறு சதவீதம் உயர்ந்தது
PUB_TA_M_025,audio/male/PUB_TA_M_025.wav,male,ராஜ் ராஜரத்தினத்துடன் இணைந்து பங்கு மோசடியில் ஈடுபட்ட ரஜத் குப்தா கைது
PUB_TA_M_026,audio/male/PUB_TA_M_026.wav,male,சரத்குமார் சொன்னது நூறு சதவீதம் உண்மை
PUB_TA_M_027,audio/male/PUB_TA_M_027.wav,male,இதனைக் கட்ட சிமெண்ட் ஐயாயிரம் டன்னும் எஃகு இரும்பு பதினெட்டாயிரம் டன்னும் உபயோகப்படுத்தப்பட்டது
PUB_TA_M_028,audio/male/PUB_TA_M_028.wav,male,சுவிஸ் நாட்டின் வாவ்ரிங்கா வெற்றி
PUB_TA_M_029,audio/male/PUB_TA_M_029.wav,male,இளவரசர் வில்லியம் திருமணம் கோலாகலமாக நடந்தது
PUB_TA_M_030,audio/male/PUB_TA_M_030.wav,male,அதிகாலையில் ஓஸோன் வாயுக்கள் அதிகம் வெளியேறும்
PUB_TA_M_031,audio/male/PUB_TA_M_031.wav,male,நோக்கியா ஆலை மூடப்பட்டதை தொடர்ந்து பணிக்கு வந்த தொழிலாளர்கள் திருப்பி அனுப்பப்பட்டனர்
PUB_TA_M_032,audio/male/PUB_TA_M_032.wav,male,கேரளத்து பத்மநாப சுவாமி கோயிலில் பெருமளவு தங்கம் கண்டுபிடிப்பு
PUB_TA_M_033,audio/male/PUB_TA_M_033.wav,male,நடிகை ரோஜா சஸ்பெண்ட் ரத்து செய்யக்கோரி ஜனாதிபதியிடம் மனு
PUB_TA_M_034,audio/male/PUB_TA_M_034.wav,male,கிரகங்களையும் பார்க்க வேண்டும்
PUB_TA_M_035,audio/male/PUB_TA_M_035.wav,male,மதியத்திற்கு மேல் பங்கு விலைகள் அதிகரிக்க வாய்ப்பு உண்டு
PUB_TA_M_036,audio/male/PUB_TA_M_036.wav,male,அசாம் போராளிக் குழு பேச்சுவார்த்தைக்கு அழைப்பு விடுத்தது
PUB_TA_M_037,audio/male/PUB_TA_M_037.wav,male,சென்னையில் ஒரு சிறுவன் உட்பட இந்தியாவில் பன்றிக் காய்ச்சலில் நால்வர் உயிரிழப்பு
PUB_TA_M_038,audio/male/PUB_TA_M_038.wav,male,ஊர் திருவிழாவை முன்னின்று நடத்துவீர்கள்
PUB_TA_M_039,audio/male/PUB_TA_M_039.wav,male,இஸ்ரேலில் ரோமர் காலத்து சிலை கண்டுபிடிக்கப்பட்டது
PUB_TA_M_040,audio/male/PUB_TA_M_040.wav,male,படப்பிடிப்புக்கு நான் தனியாகத்தான் வருகிறேன்
PUB_TA_M_041,audio/male/PUB_TA_M_041.wav,male,இந்தியப் பெருங்கடலின் கீழ் பண்டைய கண்டம் ஒன்றின் சிதறல்கள் இருப்பதாக ஆய்வுகள் தெரிவிப்பு
PUB_TA_M_042,audio/male/PUB_TA_M_042.wav,male,தமிழ் சினிமாவுக்கு யார் வில்லன் என்றால் அது திருட்டு டிவிடிதான்
PUB_TA_M_043,audio/male/PUB_TA_M_043.wav,male,அஜித்தின் வேதாளம் தீபாவளிக்கு திரைக்கு வருகிறது
PUB_TA_M_044,audio/male/PUB_TA_M_044.wav,male,காவேரியில் கடந்த மூன்றாண்டு காலமாக நீர் வரவும் இல்லை
PUB_TA_M_045,audio/male/PUB_TA_M_045.wav,male,வேறு படங்களில் ஷங்கர் கவனம் செலுத்தினார்
PUB_TA_M_046,audio/male/PUB_TA_M_046.wav,male,நிலத்தை மீட்டால் அடுத்த உடனடி சவால் கட்டிடம் கட்டுவது
PUB_TA_M_047,audio/male/PUB_TA_M_047.wav,male,வேதாளம் பார்த்த பின் என்ன சொன்னார்
PUB_TA_M_048,audio/male/PUB_TA_M_048.wav,male,வங்காளதேச அணி இங்கிலாந்தை வென்றது
PUB_TA_M_049,audio/male/PUB_TA_M_049.wav,male,வோடஃபோன் இந்தியா நிறுவனத்திற்கு ரூபாய் ஆயிரத்து இருநூறு கோடி அபராதம்
PUB_TA_M_050,audio/male/PUB_TA_M_050.wav,male,பாம்பன் பாலத்தில் இன்று முதல் பதினாறாம் தேதி வரை ரயில்கள் செல்ல தடைவிதிக்கப்பட்டுள்ளது

